filename,status,error
soilgrids/soc_30-60cm_mean.tif,OK,
soilgrids/soc_5-15cm_mean.tif,OK,
soilgrids/soc_60-100cm_mean.tif,OK,
vodca/vodca_c-band_mean.tif,FAILED,vodca_c-band_mean.tif: TIFFReadDirectory:Failed to read directory at offset 275287248
vodca/vodca_c-band_p5.tif,FAILED,vodca_c-band_p5.tif: TIFFReadDirectory:Failed to read directory at offset 264201784
vodca/vodca_c-band_p95.tif,FAILED,vodca_c-band_p95.tif: TIFFReadDirectory:Failed to read directory at offset 261781384
vodca/vodca_k-band_mean.tif,FAILED,vodca_k-band_mean.tif: TIFFReadDirectory:Failed to read directory at offset 242928368
vodca/vodca_k-band_p5.tif,FAILED,vodca_k-band_p5.tif: TIFFReadDirectory:Failed to read directory at offset 252859006
vodca/vodca_k-band_p95.tif,OK,
vodca/vodca_x-band_mean.tif,FAILED,vodca_x-band_mean.tif: TIFFReadDirectory:Failed to read directory at offset 283656242
vodca/vodca_x-band_p5.tif,FAILED,vodca_x-band_p5.tif: TIFFReadDirectory:Failed to read directory at offset 268133160
vodca/vodca_x-band_p95.tif,FAILED,vodca_x-band_p95.tif: TIFFReadDirectory:Failed to read directory at offset 265841988
worldclim/wc2.1_30s_bio_1.tif,FAILED,wc2.1_30s_bio_1.tif: TIFFReadDirectory:Failed to read directory at offset 252607364
worldclim/wc2.1_30s_bio_12.tif,OK,
worldclim/wc2.1_30s_bio_13-14.tif,OK,
worldclim/wc2.1_30s_bio_15.tif,FAILED,wc2.1_30s_bio_15.tif: TIFFReadDirectory:Failed to read directory at offset 277600956
worldclim/wc2.1_30s_bio_4.tif,FAILED,wc2.1_30s_bio_4.tif: TIFFReadDirectory:Failed to read directory at offset 284077176
worldclim/wc2.1_30s_bio_7.tif,OK,
